Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Policy details,Final URL,Mobile final URL,Impr.,Interactions,Interaction rate,Avg. inter cost,Cost,Conversions,Cost / conv.,Conv. rate
Enabled,mi comercio,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Eligible,79.96 (enhanced),Approved,,,61,10,16.39%,25.85,258.5,4,64.63,40%
Enabled,+mi +comercio santander,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Eligible,79.96 (enhanced),Approved,,,35,11,31.43%,5.4,59.43,3,19.81,27.27%
Enabled,[mi comercio],mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_exa,MXN,Eligible,79.96 (enhanced),Approved,,,18,4,22.22%,0.98,3.92,1,3.92,25%
Enabled,+mi +comercio,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_brand_bro,MXN,Eligible,79.96 (enhanced),Approved,,,122,12,9.84%,2.77,33.18,1,33.18,8.33%
Enabled,+facturacion +electronica,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_facturacion_electronica_bro,MXN,Eligible,79.96 (enhanced),Approved,,,2740,77,2.81%,24.85,1913.83,0,0,0%
Enabled,+facturas +electronicas,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_facturacion_electronica_bro,MXN,Eligible,79.96 (enhanced),Approved,,,1576,43,2.73%,26.36,1133.43,0,0,0%
Enabled,+app para +negocios,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_app_empresas_bro,MXN,Eligible,79.96 (enhanced),Approved,,,224,13,5.8%,18.73,243.45,0,0,0%
Enabled,+aplicacion para +negocios,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_app_empresas_bro,MXN,Eligible,79.96 (enhanced),Approved,,,176,8,4.55%,22.03,176.2,0,0,0%
Enabled,+app para +empresas,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_app_empresas_bro,MXN,Eligible,79.96 (enhanced),Approved,,,106,4,3.77%,36.41,145.64,0,0,0%
Enabled,+app +facturacion,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_facturacion_electronica_bro,MXN,Eligible,79.96 (enhanced),Approved,,,184,2,1.09%,58.62,117.23,0,0,0%
Enabled,+aplicacion para +empresas,mi_comercio_mastercard_brand_search,mi_comercio_mastercard_app_empresas_bro,MXN,Eligible,79.96 (enhanced),Approved,,,138,3,2.17%,19.2,57.59,0,0,0%
